observed,predicted,diff,country
1540.3600000000001,1539.7868317325263,-0.573168267473875,France
1541.08,1540.26514561176,-0.8148543882398371,France
1541.62,1540.6516672058362,-0.9683327941636435,France
1542.03,1541.101794377243,-0.9282056227568773,France
1542.5800000000002,1541.600524703965,-0.9794752960351616,France
1542.5800000000002,1542.1092512598148,-0.4707487401853996,France
1542.5800000000002,1542.6374149521675,0.057414952167391675,France
1543.42,1543.1927320944976,-0.22726790550245823,France
1544.0200000000002,1543.770763283977,-0.24923671602323338,France
1544.48,1544.3695208467177,-0.11047915328231284,France
1545.06,1544.9897827230268,-0.07021727697315328,France
1545.3700000000001,1545.6312544008051,0.26125440080500084,France
1545.3700000000001,1546.2931150684863,0.9231150684861404,France
1545.3700000000001,1546.9749227940547,1.6049227940545734,France
1545.98,1547.676324554274,1.6963245542740424,France
1546.62,1548.3968687196282,1.7768687196282826,France
1546.8000000000002,1549.1361105784697,2.3361105784695155,France
1547.1299999999999,1549.8936433733804,2.763643373380546,France
1547.4099999999999,1550.6690655714235,3.259065571423662,France
1547.4099999999999,1551.4619778801864,4.051977880186541,France
1547.4099999999999,1552.2719919329932,4.8619919329933055,France
1548.1200000000001,1553.0987293612013,4.978729361201204,France
1548.6,1553.9418194205184,5.341819420518505,France
1548.93,1554.8008993516862,5.870899351686148,France
1549.23,1555.675614674612,6.4456146746119884,France
1549.5600000000002,1556.5656187904283,7.005618790428116,France
1549.5600000000002,1557.4705727197008,7.910572719700667,France
1549.5600000000002,1558.3901450033115,8.830145003311372,France
1550.29,1559.3240115468743,9.034011546874353,France
1550.78,1560.2718554375333,9.491855437533331,France
1551.14,1561.233366785113,10.093366785112948,France
1551.47,1562.2082425715225,10.738242571522505,France
1551.8100000000002,1563.1961864974658,11.386186497465587,France
1551.8100000000002,1564.1969088323099,12.3869088323097,France
1551.8100000000002,1565.2101262688861,13.40012626888597,France
1552.6699999999998,1566.2355617813093,13.565561781309498,France
1553.41,1567.2729444855665,13.862944485566459,France
1553.8799999999999,1568.3220095033118,14.442009503311965,France
1554.3799999999999,1569.3824978287603,15.002497828760397,France
1554.9099999999999,1570.4541561984913,15.544156198491464,France
1554.9099999999999,1571.5367369641235,16.626736964123666,France
1554.9099999999999,1572.6299979678272,17.71999796782734,France
1556.04,1573.7337024205972,17.69370242059722,France
1556.8899999999999,1574.8476187832205,17.957618783220596,France
1557.4399999999998,1575.9715206498847,18.531520649884897,France
1558.06,1577.1051866343669,19.045186634366928,France
1558.85,1578.2484002587444,19.39840025874446,France
1558.85,1579.4009498445755,20.550949844575598,France
1558.85,1580.5626284064904,21.712628406490467,France
1560.49,1581.7332335481424,21.24323354814237,France
1561.5,1582.9125673604658,21.4125673604658,France
1562.5600000000002,1584.1004363221898,21.540436322189635,France
1563.25,1585.296651202557,22.046651202557086,France
1564.06,1586.5010269662002,22.441026966200297,France
1564.06,1587.713382680127,23.65338268012715,France
1564.06,1588.9335414227671,24.873541422767175,France
1565.78,1590.161330195036,24.38133019503607,France
1567.09,1591.3965798333707,24.306579833370733,France
1567.6899999999998,1592.6391249246929,24.949124924693024,France
1568.4,1593.8888037232582,25.488803723258115,France
226.81,226.8250710491301,0.015071049130085612,Netherlands
226.81,226.84165745069197,0.03165745069196646,Netherlands
226.85,226.86496709161833,0.014967091618331096,Netherlands
226.86,226.8952417793446,0.03524177934457384,Netherlands
226.86999999999998,226.9280748294006,0.05807482940062414,Netherlands
226.86999999999998,226.95778495163162,0.08778495163164735,Netherlands
