iso_code,continent,country,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_vaccinations_smoothed_per_million,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,total_deaths_per_hundred,total_deaths_per_ratio,cid
ITA,Europe,Italy,2257866.0,19976.0,78394.0,483.0,38113.663,0.019976,0.078394,0.000483,1280.0,78.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,47.964,3.18,83.51,0.892,59037472.0,783.94,0.0013278685103589802,97
JAM,North America,Jamaica,15653.0,126.0,350.0,2.0,5535.606,0.000126,0.00035,2e-06,1133.0,71.3,266.879,31.4,9.684,6.39,8193.571,2.2,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,3.5,0.0001237894278169699,98
JPN,Asia,Japan,275182.0,7957.0,3963.0,78.0,2208.301,0.007957,0.003963,7.8e-05,1133.0,49.54,347.778,48.2,27.049,18.493,39002.223,2.2,79.37,5.72,11.2,33.7,47.964,13.05,84.63,0.919,123951696.0,39.63,3.197213211185105e-05,99
JOR,Asia,Jordan,336839.0,1685.0,4385.0,6.0,30214.442,0.001685,0.004385,6e-06,161.0,57.41,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,6.2,31.2,47.964,1.4,74.53,0.729,11285875.0,43.85,0.00038853877080864354,100
KAZ,Asia,Kazakhstan,235844.0,1275.0,3126.0,91.0,12285.804,0.001275,0.003126,9.1e-05,1133.0,68.52,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,31.259999999999998,0.0001611506507011703,101
KEN,Africa,Kenya,100773.0,98.0,1763.0,8.0,1901.176,9.8e-05,0.001763,8e-06,1133.0,50.93,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,17.63,3.2631539902913114e-05,102
KIR,Oceania,Kiribati,3093.0,4.0,13.0,0.0,24000.186,4e-06,1.3e-05,0.0,1311.0,39.81,143.701,23.2,3.895,2.21,1981.132,2.2,434.657,22.66,35.9,58.9,47.964,1.9,68.37,0.63,131237.0,0.13,9.905743045025412e-05,103
OWID_KOS,Europe,Kosovo,62548.0,860.0,1526.0,7.0,35097.623,0.00086,0.001526,7e-06,1133.0,69.44,168.155,30.626080159524133,6.614,3.915,9795.834,0.6,242.648,7.11,6.2,31.2,47.964,2.397,75.05,0.75,1782115.0,15.26,0.0008562859299203475,104
KWT,Asia,Kuwait,173983.0,987.0,980.0,5.0,40936.078,0.000987,0.00098,5e-06,1640.0,77.78,232.128,33.7,2.345,1.114,65530.537,2.2,132.235,15.84,2.7,37.0,47.964,2.0,75.49,0.806,4268886.0,9.799999999999999,0.00022956808872384973,105
KGZ,Asia,Kyrgyzstan,85689.0,0.0,1447.0,0.0,13126.895,0.0,0.001447,0.0,1133.0,36.11,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,14.469999999999999,0.0002182299365323399,106
