observed,predicted,diff,country
1472.23,1471.19205723901,-1.037942760990063,Germany
1472.23,1471.5371750860998,-0.6928249139002673,Germany
1474.9399999999998,1471.6237192885585,-3.3162807114413226,Germany
1476.4199999999998,1471.6111796691725,-4.808820330827302,Germany
1477.6200000000001,1471.5986401566358,-6.02135984336428,Germany
1477.6200000000001,1471.5861007509475,-6.033899249052638,Germany
1477.6200000000001,1471.5735614521068,-6.046438547893331,Germany
1478.61,1471.5610222601126,-7.0489777398872775,Germany
1479.81,1471.5484831749643,-8.261516825035642,Germany
1480.98,1471.5359441966607,-9.444055803339324,Germany
1482.1699999999998,1471.523405325201,-10.646594674798735,Germany
1482.9899999999998,1471.5108665605844,-11.479133439415364,Germany
1482.9899999999998,1471.49832790281,-11.491672097189849,Germany
1482.9899999999998,1471.4857893518765,-11.504210648123262,Germany
1483.8899999999999,1471.4732509077833,-12.416749092216605,Germany
1484.98,1471.4607125705295,-13.519287429470523,Germany
1487.28,1471.448174340114,-15.831825659885908,Germany
1488.45,1471.4356362165363,-17.01436378346375,Germany
1489.3300000000002,1471.423098199795,-17.906901800205105,Germany
1489.3300000000002,1471.4105602898894,-17.919439710110737,Germany
1489.3300000000002,1471.3980224868187,-17.931977513181437,Germany
1490.79,1471.3854847905818,-19.40451520941815,Germany
1491.69,1471.372947201178,-20.317052798822033,Germany
1492.75,1471.3604097186062,-21.389590281393794,Germany
1493.68,1471.3478723428655,-22.332127657134606,Germany
1494.5800000000002,1471.335335073955,-23.24466492604506,Germany
1494.5800000000002,1471.322797911874,-23.257202088126178,Germany
1494.5800000000002,1471.3102608566212,-23.269739143378956,Germany
1495.7599999999998,1471.297723908196,-24.462276091803687,Germany
1497.14,1471.2851870665975,-25.854812933402627,Germany
1498.08,1471.2726503318247,-26.80734966817522,Germany
1499.48,1471.2601137038766,-28.219886296123377,Germany
1500.64,1471.2475771827524,-29.392422817247734,Germany
1500.64,1471.2350407684512,-29.4049592315489,Germany
1500.64,1471.222504460972,-29.417495539028096,Germany
1500.64,1471.2099682603139,-29.43003173968623,Germany
1501.9199999999998,1471.1974321664761,-30.722567833523726,Germany
1502.89,1471.1848961794576,-31.70510382054249,Germany
1504.0600000000002,1471.1723602992574,-32.88763970074274,Germany
1505.35,1471.159824525875,-34.190175474125,Germany
1505.35,1471.147288859309,-34.20271114069101,Germany
1505.35,1471.1347532995585,-34.21524670044141,Germany
1507.1999999999998,1471.122217846623,-36.0777821533768,Germany
1509.19,1471.1096825005013,-38.08031749949873,Germany
1510.95,1471.0971472611925,-39.85285273880754,Germany
1512.6000000000001,1471.0846121286959,-41.515387871304256,Germany
1514.2,1471.0720771030103,-43.12792289698973,Germany
1514.2,1471.059542184135,-43.14045781586515,Germany
1514.2,1471.047007372069,-43.1529926279311,Germany
1516.2900000000002,1471.0344726668113,-45.255527333188866,Germany
1518.7700000000002,1471.0219380683611,-47.748061931639086,Germany
1521.0000000000002,1471.0094035767174,-49.990596423282796,Germany
1522.78,1470.9968691918796,-51.783130808120404,Germany
1524.8200000000002,1470.9843349138464,-53.83566508615377,Germany
1524.8200000000002,1470.971800742617,-53.84819925738316,Germany
1524.8200000000002,1470.9592666781907,-53.86073332180945,Germany
1527.55,1470.9467327205664,-56.60326727943357,Germany
1529.97,1470.934198869743,-59.035801130256914,Germany
1531.93,1470.92166512572,-61.00833487428008,Germany
1533.7700000000002,1470.9091314884963,-62.860868511503895,Germany
1004.0,1003.9911199849183,-0.008880015081672354,Turkey
1004.0,1004.0159383835448,0.015938383544835233,Turkey
1004.0,1004.0086971540929,0.008697154092942583,Turkey
1004.0,1004.0319564627799,0.031956462779930916,Turkey
1006.31,1004.0261985032538,-2.2838014967461504,Turkey
1006.31,1004.0480466748298,-2.2619533251701114,Turkey
1008.4,1004.0436312274867,-4.356368772513292,Turkey
1008.4,1004.0642021745131,-4.335797825486907,Turkey
1008.4,1004.0610018390854,-4.338998160914571,Turkey
1008.4,1004.0804167662342,-4.319583233765798,Turkey
1008.4,1004.0783162323476,-4.3216837676524165,Turkey
1008.4,1004.0966848423413,-4.303315157658631,Turkey
1008.4,1004.09557974222,-4.304420257779952,Turkey
1009.79,1004.1130013273308,-5.676998672669129,Turkey
1010.6800000000001,1004.1127971973795,-6.5672028026206135,Turkey
1010.6800000000001,1004.1293616273491,-6.550638372650951,Turkey
1010.6800000000001,1004.1299729682763,-6.550027031723744,Turkey
1010.6800000000001,1004.1457615844852,-6.534238415514892,Turkey
1010.6800000000001,1004.1471110106186,-6.53288898938149,Turkey
1010.6800000000001,1004.1621974354006,-6.517802564599492,Turkey
1010.6800000000001,1004.1642149047296,-6.515785095270417,Turkey
1010.6800000000001,1004.1786657738865,-6.501334226113613,Turkey
1010.6800000000001,1004.1812878911715,-6.498712108828613,Turkey
1010.6800000000001,1004.1951635169725,-6.484836483027607,Turkey
1010.6800000000001,1004.1983329029865,-6.481667097013542,Turkey
1010.6800000000001,1004.2116878742528,-6.468312125747275,Turkey
1011.3900000000001,1004.2153525948808,-7.1746474051193445,Turkey
1011.3900000000001,1004.2282363201225,-7.161763679877595,Turkey
1011.3900000000001,1004.2323493696365,-7.157650630363605,Turkey
1011.3900000000001,1004.2448065686485,-7.145193431351572,Turkey
1011.3900000000001,1004.2493254020196,-7.140674597980478,Turkey
1011.3900000000001,1004.2613965508261,-7.128603449173966,Turkey
1011.3900000000001,1004.2662826604172,-7.123717339582868,Turkey
1011.3900000000001,1004.2780043939925,-7.111995606007554,Turkey
1011.3900000000001,1004.2832229264227,-7.106777073577405,Turkey
1011.3900000000001,1004.294628403195,-7.09537159680508,Turkey
1011.3900000000001,1004.3001478125616,-7.08985218743851,Turkey
1011.3900000000001,1004.3112670443265,-7.0787329556735585,Turkey
1011.3900000000001,1004.3170587783359,-7.072941221664223,Turkey
1011.3900000000001,1004.3279189288622,-7.062081071137868,Turkey
1011.3900000000001,1004.3339571447455,-7.0560428552546455,Turkey
1011.7900000000001,1004.344582800044,-7.4454171999560685,Turkey
1012.03,1004.350844107431,-7.679155892568929,Turkey
1012.03,1004.3612575203758,-7.668742479624143,Turkey
1012.03,1004.3677207485708,-7.6622792514291405,Turkey
1012.03,1004.3779420603069,-7.6520579396931225,Turkey
1012.03,1004.3845880476475,-7.645411952352447,Turkey
1012.03,1004.3946354879874,-7.635364512012529,Turkey
1012.03,1004.4014468911944,-7.6285531088055905,Turkey
1012.03,1004.4113369599976,-7.618663040002389,Turkey
1012.03,1004.4182980816151,-7.611701918384824,Turkey
1012.03,1004.4280457129553,-7.601954287044691,Turkey
1012.03,1004.4351423451678,-7.59485765483214,Turkey
1012.03,1004.4447610559209,-7.5852389440790375,Turkey
1012.03,1004.4519803391906,-7.578019660809332,Turkey
1012.03,1004.461482363523,-7.56851763647694,Turkey
1012.03,1004.4688126586428,-7.56118734135714,Turkey
1012.03,1004.4782090697361,-7.5517909302639055,Turkey
1012.03,1004.4856398420237,-7.544360157976257,Turkey
1012.03,1004.4949406622486,-7.535059337751363,Turkey
